Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0506069949827857,-1.14363572841677E-07,0.0619008362342535,0,0,0,2.51495850931649,0.0103832756520663,-1.74262384356617E-09,0.00157319608739744,0.0163429942434534,-1.23204755988797E-08,0.0176888561819906,0,0,0,0,0,0,package://URDF_file_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/base_link.STL,,Part0-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1_sixdof,1.39246435361373E-15,0.138175207287114,-8.4738207703762E-14,0,0,0,3.9007787242109,0.0276293584237025,9.7521213598593E-19,-1.49576433965979E-09,0.00933971406285462,8.93245474050774E-15,0.0291792098708082,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_1_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_1_sixdof.STL,,Part1-2,Origin_joint_1_sixdof,Axis_joint_1_sixdof,joint_1_sixdof,continuous,0,-0.0499999999999985,0,0,0,3.14159265358979,base_link,0,1,0,0,0,0,0,,,,,,,,
Link_2_sixdof,0.129995053676744,-3.21171147454891E-08,-0.00025041386369764,0,0,0,2.97190444581255,0.0114204057525842,1.17304404848484E-08,3.81761314295112E-09,0.0298998821164193,2.39017633320791E-11,0.0225536721538333,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_2_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_2_sixdof.STL,,Part2-2,Origin_joint_2_sixdof,Axis_joint_2_sixdof,joint_2_sixdof,continuous,0,0.239999999999982,0,3.14159265358979,0,3.14159265358979,Link_1_sixdof,0,0,1,0,0,0,0,,,,,,,,
Link_3_sixdof,0.0151091396531827,1.31918981676818E-08,0.00053080184327442,0,0,0,1.21034790267616,0.00222418673786187,-2.9841140750966E-11,-1.64350828599202E-05,0.00275952209791723,6.62153778562464E-10,0.00232313783127098,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_3_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_3_sixdof.STL,,Part3-2,Origin_joint_3_sixdof,Axis_joint_3_sixdof,joint_3_sixdof,continuous,0.259999999999975,0,0,1.5707963267949,0,0,Link_2_sixdof,0,1,0,0,0,0,0,,,,,,,,
Link_4_sixdof,0.000947263677941901,-0.100717413381797,3.06160884371227E-09,0,0,0,1.19972958700246,0.00495141922936999,1.47576253468213E-05,1.62163685479096E-09,0.00126268477088943,-1.89858985382678E-10,0.00490627123657181,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_4_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_4_sixdof.STL,,Part4-2,Origin_joint_4_sixdof,Axis_joint_4_sixdof,joint_4_sixdof,continuous,0.0305000000000504,0,0.0500000000000637,-1.5707963267949,0,0,Link_3_sixdof,0,1,0,0,0,0,0,,,,,,,,
Link_5_sixdof,-1.67534207741182E-05,-2.95132488265696E-08,0.0214322182561447,0,0,0,0.27429658836353,0.000286683873066818,1.95186751032465E-10,2.78932205905315E-08,0.000290337676931304,2.42601818266048E-12,0.000123515546890888,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_5_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_5_sixdof.STL,,Part5-3,Origin_joint_5_sixdof,Axis_joint_5_sixdof,joint_5_sixdof,continuous,0,-0.219999999999987,0,-1.5707963267949,0,3.14159265358979,Link_4_sixdof,0,1,0,0,0,0,0,,,,,,,,
Link_6_sixdof,-1.52655665885959E-15,5.55111512312578E-17,-0.00750000000000051,0,0,0,0.0127506773833687,1.71251618939208E-06,-1.45583787809333E-21,-2.6758892300575E-21,1.71251618939207E-06,1.38809697494579E-20,2.97760528698337E-06,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_6_sixdof.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_file_2/meshes/Link_6_sixdof.STL,,Part6-3,Origin_joint_6_sixdof,Axis_joint_6_sixdof,joint_6_sixdof,continuous,0,0,0.0749999999999912,3.14159265358979,0,-1.35772981694107,Link_5_sixdof,0,0,1,,,,,,,,,,,,
