0,0,1.5707963267948966,0,0,0,0
1736847123.7770722,0.0,1.5708,-0.0,-0.0,-0.0,0.0
1736847123.7770722,0.0,1.5708,-0.0,-0.0,-0.0,0.0
1736847123.7770722,0.0,1.5708,-0.0,-0.0,-0.0,0.0
1736847123.7770722,0.0,1.5708,-0.0,-0.0,-0.0,0.0
1736847123.7770722,0.0,1.5708,0.0,-0.0,-0.0,0.0
1736847123.7880073,0.0,1.5708,0.0,-0.0,-0.0,0.0
1736847123.788467,0.0,1.5708,1e-05,-0.0,-0.0,0.0
1736847123.789491,0.0,1.5708,2e-05,-0.0,-0.0,0.0
1736847123.7907183,0.0,1.5708,3e-05,-0.0,-0.0,0.0
1736847123.7913842,0.0,1.5708,4e-05,-0.0,-0.0,0.0
1736847123.7919114,0.0,1.5708,6e-05,-0.0,-0.0,0.0
1736847123.7934458,0.0,1.5708,8e-05,-0.0,-0.0,0.0
1736847123.794283,0.0,1.5708,0.0001,-0.0,-0.0,0.0
1736847123.7958016,0.0,1.5708,0.00015,-0.0,-0.0,0.0
1736847123.7970755,0.0,1.5708,0.00022,-0.0,-0.0,0.0
1736847123.7980807,0.0,1.5708,0.00027,-0.0,-0.0,0.0
1736847123.7984488,0.0,1.5708,0.00032,-0.0,-0.0,0.0
1736847123.7992733,0.0,1.5708,0.00038,-0.0,-0.0,0.0
1736847123.8002741,0.0,1.5708,0.00044,-0.0,-0.0,0.0
1736847123.801273,0.0,1.5708,0.00051,-0.0,-0.0,0.0
1736847123.801273,0.0,1.5708,0.00058,-0.0,-0.0,0.0
1736847123.8028846,0.0,1.5708,0.00067,-0.0,-0.0,0.0
1736847123.8032305,0.0,1.5708,0.00077,-0.0,-0.0,0.0
1736847123.804819,0.0,1.5708,0.00086,-0.0,-0.0,0.0
1736847123.804819,0.0,1.5708,0.00097,-0.0,-0.0,0.0
1736847123.8058212,0.0,1.5708,0.00108,-0.0,-0.0,0.0
1736847123.8068197,0.0,1.5708,0.00118,-0.0,-0.0,0.0
1736847123.8078296,0.0,1.5708,0.00128,-0.0,-0.0,0.0
1736847123.8078296,0.0,1.5708,0.00138,-0.0,-0.0,0.0
1736847123.8088205,0.0,1.5708,0.00149,-0.0,-0.0,0.0
1736847123.810334,0.0,1.5708,0.00165,-0.0,-0.0,0.0
1736847123.8113403,0.0,1.5708,0.00179,-0.0,-0.0,0.0
1736847123.8113403,0.0,1.5708,0.0019,-0.0,-0.0,0.0
1736847123.8123393,0.0,1.5708,0.00201,-0.0,-0.0,0.0
1736847123.8138087,0.0,1.5708,0.00213,-0.0,-0.0,0.0
1736847123.8138087,0.0,1.5708,0.00225,-0.0,-0.0,0.0
1736847123.8150094,0.0,1.5708,0.00237,-0.0,-0.0,0.0
1736847123.8160162,0.0,1.5708,0.00251,-0.0,-0.0,0.0
1736847123.816753,0.0,1.5708,0.00265,-0.0,-0.0,0.0
1736847123.816753,0.0,1.5708,0.00279,-0.0,-0.0,0.0
1736847123.816753,0.0,1.5708,0.00293,-0.0,-0.0,0.0
1736847123.816753,0.0,1.5708,0.00306,-0.0,-0.0,0.0
1736847123.8201702,0.0,1.5708,0.00318,-0.0,-0.0,0.0
1736847123.8211758,0.0,1.5708,0.0033,-0.0,-0.0,0.0
1736847123.8211758,0.0,1.5708,0.00342,-0.0,-0.0,0.0
1736847123.8221753,0.0,1.5708,0.00354,-0.0,-0.0,0.0
1736847123.8231776,0.0,1.5708,0.00368,-0.0,-0.0,0.0
1736847123.8239963,0.0,1.5708,0.00383,-0.0,-0.0,0.0
1736847123.825091,0.0,1.5708,0.004,-0.0,-0.0,0.0
1736847123.825091,0.0,1.5708,0.00413,-0.0,-0.0,0.0
1736847123.825091,0.0,1.5708,0.00426,-0.0,-0.0,0.0
1736847123.825091,0.0,1.5708,0.00438,-0.0,-0.0,0.0
1736847123.825091,0.0,1.5708,0.0045,-0.0,-0.0,0.0
1736847123.829288,0.0,1.5708,0.00461,-0.0,-0.0,0.0
1736847123.8302958,0.0,1.5708,0.00474,-0.0,-0.0,0.0
1736847123.8305678,0.0,1.5708,0.0049,-0.0,-0.0,0.0
1736847123.8305678,0.0,1.5708,0.00504,-0.0,-0.0,0.0
1736847123.832616,0.0,1.5708,0.00518,-0.0,-0.0,0.0
1736847123.8336234,0.0,1.5708,0.00531,-0.0,-0.0,0.0
1736847123.8346345,0.0,1.5708,0.00543,-0.0,-0.0,0.0
1736847123.8346345,0.0,1.5708,0.00555,-0.0,-0.0,0.0
1736847123.8361135,0.0,1.5708,0.00566,-0.0,-0.0,0.0
1736847123.8361135,0.0,1.5708,0.00579,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00592,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00607,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00621,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00632,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00644,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00656,-0.0,-0.0,0.0
1736847123.8378212,0.0,1.5708,0.00668,-0.0,-0.0,0.0
1736847123.8431635,0.0,1.5708,0.0068,-0.0,-0.0,0.0
1736847123.844396,0.0,1.5708,0.00693,-0.0,-0.0,0.0
1736847123.8448715,0.0,1.5708,0.00709,-0.0,-0.0,0.0
1736847123.8462448,0.0,1.5708,0.00725,-0.0,-0.0,0.0
1736847123.8462448,0.0,1.5708,0.00737,-0.0,-0.0,0.0
1736847123.84725,0.0,1.5708,0.00749,-0.0,-0.0,0.0
